Kode Kecamatan,Kecamatan,Kode Kelurahan,Kelurahan,Jenjang Sekolah,Nama Sekolah,Alamat Sekolah,Jumlah Murid,Jumlah Guru
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,PAUD,POS PAUD Bougenville,Jl. Sukajadi Gg. Eme Atas RT 07 RW 04,8,3
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,PAUD,Kober PAUD Kibar Auladi,Jl. Sukajadi Gg. Pak Marjaban RT 02 RW 07,47,3
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,PAUD,POS PAUD Melati,Jl. Dr Djunjunan RW 12,20,3
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,PAUD,POS PAUD Mutiara Hati,Gg. Bangun Resik RW 07,10,3
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,PAUD,POS PAUD Nur Rohmah,Jl. Sukaglih RW 01,4,1
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,TK,TK Al-Amanah,Jl. Sukajadi Gg. Asli RT 04 RW 05,47,5
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,TK,TK/Kober Az-Zahra Aisyiyah,Gg. H Yasin RW 03,96,5
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,TK,TK Melati,Jl. Cibarengkok RW 07,30,4
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,TK,TKQ Ar Rasyid,Jl. Dr Djunjunan RT 01 RW 08,13,2
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,TK,TKQ Azharul Hidayah,Jl. H Yasin RW 02,51,5
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,TK,TK Melati Asri,Jl. Cibarengkok No. 104/182 C RT 05 RW 07,35,2
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,TK,TK Aisyiyah 10,Jl. GarunGg. ang Kulon No. 431/65 RT 05 RW 12,40,3
32.73.07,Sukajadi,,Sukabungah,SD,SDN Sukagalih Barat,Jl. Sukagalih No. 108 Sukajadi - Bandung,40,4
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,SD,SDN Sukagalih Timur,Jl. Sukagalih RT 02 RW 03,55,2
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,SD,SD Ukhuwah Islamiyah,Jl. Cibarengkok ,64,6
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,SMA,SMA Puragabaya,Jl. H. Yasin RW 02,54,4
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,SMAK,SMAK Puragabaya,Jl. H. Yasin RW 02,22,1
32.73.07,Sukajadi,32.73.07.1001,Pasteur,PAUD,POS PAUD Ceria,RW 01,16,2
32.73.07,Sukajadi,32.73.07.1001,Pasteur,PAUD,KB Cerdas Berkalakter,Jl. Cemara Iv No 23 RT 01 RW 01,27,2
32.73.07,Sukajadi,32.73.07.1001,Pasteur,PAUD,SPS Melati Bangsa,RW 03,17,3
