Kode Kecamatan,Kecamatan,Kode Kelurahan,Kelurahan,Jenjang Sekolah,Nama Sekolah,Alamat Sekolah,Jumlah Murid,Jumlah Guru,Ruang Kelas,Laboratorium,Fasilitas Olahraga,Toilet,Perpustakaan
32.73.25,Cibiru,32.73.25.1002,Pasirbiru,PAUD,PAUD Sari Biru,Komp. Yayasan Kebon Binatang RT 05 RW 08,30,7,2, -, -, -, -
32.73.25,Cibiru,32.73.25.1002,Pasirbiru,PAUD,PAUD Mekar Bhakti,Babakan Dangdeur RW 04,21,4,2, -, -, -, -
32.73.25,Cibiru,32.73.25.1002,Pasirbiru,PAUD,PAUD MAtahari,Jl. Manisi Atas RT 03 RW 07,36,8,2, -, -, -, -
32.73.25,Cibiru,32.73.25.1002,Pasirbiru,PAUD,PAUD Al MAnar,Gudang Sikat RT 01 RW 02,40,5,2,20, -, -, -
32.73.25,Cibiru,32.73.25.1002,Pasirbiru,PAUD,PAUD Pasirbiru,Jl. A.H Nasution Km 14.5,25,3,2, -, -, -, -
32.73.25,Cibiru,32.73.25.1002,Pasirbiru,PAUD,PAUD Aster,Mekarjati RT 07 RW 05,21,6,1,40, -, -, -
32.73.25,Cibiru,32.73.25.1002,Pasirbiru,PAUD,PAUD Mekarbiru,Cikuda RT 01 RW 11,47,4,1, -, -, -, -
32.73.25,Cibiru,32.73.25.1002,Pasirbiru,PAUD,PAUD Al Hidayah ,Manisi RT 04 RW 03,23,4,2, -, -, -, -
32.73.25,Cibiru,32.73.25.1002,Pasirbiru,PAUD,PAUD Flamboyan ,Jl. Sukasari No. 28 RT 02 RW 10,41,5,1, -, -, -, -
32.73.25,Cibiru,32.73.25.1002,Pasirbiru,TK,TK Tunas Krida Nusantara,Jl. Desa Cipadung,45,6,3, -, -, -, -
32.73.25,Cibiru,32.73.25.1002,Pasirbiru,TK,RA Ar Rosyidiyah,Jl. Cikuda RT 05 RW 11 ,82,10,6, -, -, -, -
